id,name
b66869a0-fbfe-4336-8907-c0d921d08887,Kholo
afaa910f-3610-421a-94e6-4246ea4e4062,Kuraby
9faa2901-5205-4bd7-b7ef-faf2120d9203,Lake Manchester
68cd37b9-c277-44b4-a3f4-b65abb0b1d50,Larapinta
7fc02e39-87ef-47d1-abc5-059b4ed9e1ca,Lota
cf25ff1e-5a56-40d2-8e58-720a512e8539,Lutwyche
01392f55-87bf-476c-bb99-5d0d7520d061,Lytton
4983d6b2-8f92-44a0-a66d-893a563c5c85,Macgregor
9e8bfac6-e411-4afc-8cdb-f4418be0e95e,Mackenzie
d221ab5f-68a7-4dfc-817a-2532e99f9a41,Manly
8f4db1da-322a-43cf-a041-7acb4b04ee6a,Manly West
76232bf2-797e-433c-b0a9-80befe5dd962,Mansfield
fd424d37-c94e-4224-ad96-19daf6da71de,McDowall
c0afe67d-5d00-454b-96bc-f0e331842a3d,Middle Park
c16cd8cf-3bef-41c6-b1f4-5bf12f6cd426,Milton
7e7136a1-ceba-4a9c-a201-e8ac38f031a6,Mitchelton
c4e66990-68f1-461b-97c8-ea5011fa9eab,Moggill
594fe63a-b357-4929-a6c8-a84cc8eede83,Moorooka
6672474e-c57f-4212-9ba9-252aa200c167,Morningside
6e6b0f9e-31d0-4db9-baf4-ff39c79eb371,Mt Coot-tha
22fca1eb-49a2-43ec-b0a6-9942a80065b1,Mt Crosby
779a6192-961c-4277-a5f0-48c4e2c0c778,Mt Gravatt
c8d26da4-06bd-453b-913f-2282c218a618,Mt Gravatt East
39d3fd4e-0e68-4070-bbbd-15b8b8f9eb66,Mt Ommaney
f6f0fc5c-5acb-40a5-a1d3-517158a65e83,Murarrie
81eee263-44cf-4ef5-98c1-cf80795fcfe9,Nathan
385616c8-7c48-4bea-8faf-e1c366b571fa,New Farm
037165c3-ee2a-46ef-80d4-b618511a5cf4,Newmarket
722c1b64-5a37-4f4c-80f0-81e2330dcf60,Newstead
5f0230fb-8b85-48c6-be11-8d5c0414c47a,Norman Park
6cb65bdd-2d7b-4cbf-932c-89b493d2feb7,Northgate
ba8eb385-3c78-4730-9eb4-ae1fdd4de68b,Nudgee
6e0e58ea-c1a7-4cfc-a8ac-779b7734d3a5,Nudgee Beach
3ca08584-071c-4f6b-b909-c1347b6b055c,Nundah
9da50b7d-d4bf-470b-b7f2-a8e2d23b4ae9,Oxley
7249fe7c-296e-4c57-b584-1248255fbbcf,Paddington
dfbb4625-7157-4c41-92d1-9064a4a79c1d,Pallara
a54bdaf9-be8d-4b42-8d10-2218390ddb8e,Parkinson
95ffec66-c05e-4e81-91e7-34c3cc8d2d5b,Petrie Terrace
45b7e666-a275-479f-bbe1-1725ea26f08b,Pinjarra Hills
e25aea5f-64bb-48be-ac99-b8385b621f06,Pinkenba
e8e4d749-3b5d-448b-ad3a-aca483e403c9,Port of Brisbane
858045e3-12ca-4ef6-b71a-7612b0e9ebaa,Pullenvale
209f674d-888c-475c-acb5-37aef7d93c74,Ransome
2acb0feb-1adb-4215-be1d-d6a92401bec1,Red Hill
f7f54419-d258-452c-a3b1-47d53178ae56,Richlands
79ed77ed-a5f0-4841-9565-0ea4256a637a,Riverhills
9168205a-8fb6-42a2-ab73-15da9750e387,Robertson
f17f0ad4-15e0-416d-98fc-5c730db39dae,Rochedale
e7bfc858-ea3a-486e-865c-774f963c044a,Rocklea
c303b55f-3f9f-4e7c-9a31-048672385c10,Runcorn
18c8e520-9a9c-4b48-84f0-99e29623f9ce,Salisbury
5d35bd4c-1fc3-4b4a-a7ee-d08589a74339,Sandgate
c9f7611d-f976-480e-8cca-3efc625f05c6,Seven Hills
c7ca94eb-7760-4a78-a782-8ddfa4f1c3bf,Seventeen Mile Rocks
cc25527c-8afd-454d-bc89-e78f213e92de,Sherwood
5f476232-847a-4e2d-86d0-874022856023,Shorncliffe
8c77dfc1-95d0-4113-86cb-3643d3b72c37,Sinnamon Park
601f8985-2f4e-44ff-b377-b7e1a6bb8728,South Brisbane
6ba0f0b8-e928-4e0c-a5ff-0100f4e3ed95,Spring Hill
ed698764-2ac4-46c5-8340-de2210f5df11,St Lucia
98a40d6d-ecbe-4c5c-a0f4-f88d67816fec,Stafford
f28f72a0-9d61-4097-977f-352331bbe361,Stafford Heights
1a04da04-4ac3-41c2-83db-2adf61f92477,Stones Corner
f5592358-ddfb-46bc-8ba6-2f7e66ea57bb,Stretton
ddee04d0-4d56-4c37-a485-59fa660be6d5,Sumner
e5cb592b-5a9d-4d58-b7d0-e0a166898261,Sunnybank
7b6bd478-f973-4b93-a1e4-0dcd0e2b0274,Sunnybank Hills
720cc49b-98a1-4340-a177-1d350543a0cb,Taigum
f4bad6ec-257f-4a23-b11b-c7782c7f112e,Taringa
5754de60-8465-4ee9-9d69-b06065cccd03,Tarragindi
7cdc57fa-46da-4f24-9277-bbbddc83b765,Teneriffe
fa9ff72f-1231-48db-91a0-13571f7aceec,Tennyson
3ca692fd-cd6b-495e-8b5f-c0b96e9adb93,The Gap
06953df9-30ea-42df-9c3d-0d54c84aef53,Tingalpa
1074b35a-ef0e-4f6c-b945-54dd08c9c18f,Toowong
8f6940f7-5876-4bc6-bd3c-32a4f37cb7d8,Upper Brookfield
73a58a62-3491-463d-8ae0-ff00472a94e3,Upper Kedron
39f97d44-d41d-4581-be13-b68d63618788,Upper Mt Gravatt
190b6ad6-29bd-475b-af5c-906d8048e426,Virginia
71b1b5ef-34db-4ad3-98c0-e6ed9bddd0c1,Wacol
6a5d7690-50f9-4464-91fe-cb5e9f774b4b,Wakerley
2fe7215f-f9b6-423e-8901-fca658ee102e,Wavell Heights
c31a619e-cdb8-449e-95f1-cc4d0eb76c51,West End
10b50a45-f9cd-4316-a90b-4b327a2fb541,Westlake
edefdc85-8460-41b6-950b-3ca6afcc4db9,Willawong
4d89cb67-cca5-439f-b8fa-94fe3eac977e,Wilston
28f2549e-486f-45f2-ae70-80a686fb4fbe,Windsor
1bf9a679-c324-4c71-b1dd-c51f9a87a850,Wishart
13410bfb-514e-41b8-a768-c57673f4dd08,Woolloongabba
b7e66281-9b82-4ff6-9af4-b5484ab13c13,Wooloowin
43abf02a-9e6a-46fa-b3b8-862735745be7,Wynnum
a4b6b24c-89f3-4e4b-8ce8-7fd2d34996e6,Wynnum West
91880710-83cd-4ed6-a36c-a7a46e99156e,Yeerongpilly
7dbd1591-6bd7-4440-8317-10f35bad62a9,Yeronga
2a2f5418-d71c-4602-9f64-9b1d7ff198ae,Zillmere
